pos:52, dYdX:1.49994; totalDist:118.185; dist:1.339676; theta:-146.3089; fieldPos:(-65.12755, -58.53341);
pos:53, dYdX:0.4999849; totalDist:119.3235; dist:1.13849; theta:-116.5644; fieldPos:(-65.75909, -59.48068);
pos:54, dYdX:0.6666318; totalDist:120.7356; dist:1.412154; theta:-123.6887; fieldPos:(-67.02216, -60.1122);
pos:55, dYdX:0; totalDist:121.8741; dist:1.138508; theta:0; fieldPos:(-67.96947, -60.74371);
BREAK
pos:0, dYdX:-1.999934; totalDist:0; dist:0; theta:-26.56581; fieldPos:(-67.33794, -49.06071);
pos:1, dYdX:1000; totalDist:1.412125; dist:1.412125; theta:0.05595291; fieldPos:(-67.96947, -47.79767);
pos:2, dYdX:1000; totalDist:2.675137; dist:1.263012; theta:0.05595291; fieldPos:(-67.96947, -46.53466);
pos:3, dYdX:1000; totalDist:4.569684; dist:1.894547; theta:0.05595291; fieldPos:(-67.96947, -44.64011);
pos:4, dYdX:1000; totalDist:6.148472; dist:1.578789; theta:0.05595291; fieldPos:(-67.96947, -43.06133);
pos:5, dYdX:1000; totalDist:7.727261; dist:1.578789; theta:0.05595291; fieldPos:(-67.96947, -41.48254);
pos:6, dYdX:1000; totalDist:8.990276; dist:1.263016; theta:0.05595291; fieldPos:(-67.96947, -40.21952);
pos:7, dYdX:1000; totalDist:10.25331; dist:1.263031; theta:0.05595291; fieldPos:(-67.96947, -38.95649);
pos:8, dYdX:3.999734; totalDist:11.8321; dist:1.578789; theta:14.03713; fieldPos:(-67.96947, -37.3777);
pos:9, dYdX:1000; totalDist:13.13398; dist:1.301884; theta:0.05595291; fieldPos:(-67.6537, -36.11469);
pos:10, dYdX:6.999831; totalDist:14.39701; dist:1.263035; theta:8.130307; fieldPos:(-67.6537, -34.85166);
pos:11, dYdX:2.999837; totalDist:16.62976; dist:2.232746; theta:18.43588; fieldPos:(-67.33794, -32.64135);
pos:12, dYdX:2.499897; totalDist:18.62679; dist:1.997026; theta:21.80222; fieldPos:(-66.70639, -30.74682);
pos:13, dYdX:4.999867; totalDist:20.3272; dist:1.700409; theta:11.31024; fieldPos:(-66.07485, -29.16804);
pos:14, dYdX:1.666578; totalDist:21.93725; dist:1.610053; theta:30.9651; fieldPos:(-65.75909, -27.58925);
pos:15, dYdX:1.499946; totalDist:23.77843; dist:1.841185; theta:33.69102; fieldPos:(-64.81177, -26.01047);
pos:16, dYdX:1.499952; totalDist:24.91693; dist:1.138493; theta:33.69092; fieldPos:(-64.18023, -25.0632);
pos:17, dYdX:1.499909; totalDist:27.1939; dist:2.276979; theta:33.69167; fieldPos:(-62.91716, -23.16866);
pos:18, dYdX:1.999925; totalDist:28.3324; dist:1.138495; theta:26.56592; fieldPos:(-62.28561, -22.22139);
pos:19, dYdX:2.33324; totalDist:29.74453; dist:1.412129; theta:23.19942; fieldPos:(-61.65407, -20.95835);
pos:20, dYdX:1.333272; totalDist:32.14926; dist:2.404736; theta:36.87115; fieldPos:(-60.70676, -18.74806);
pos:21, dYdX:2.333241; totalDist:33.72807; dist:1.578812; theta:23.1994; fieldPos:(-59.75945, -17.48503);
pos:22, dYdX:1.499943; totalDist:36.13282; dist:2.404746; theta:33.69108; fieldPos:(-58.81214, -15.27474);
pos:23, dYdX:1.333281; totalDist:37.27131; dist:1.138492; theta:36.87098; fieldPos:(-58.1806, -14.32747);
pos:24, dYdX:2.499911; totalDist:38.85012; dist:1.578812; theta:21.80212; fieldPos:(-57.23329, -13.06444);
pos:25, dYdX:1.999912; totalDist:40.55053; dist:1.700407; theta:26.56605; fieldPos:(-56.60176, -11.48565);
pos:26, dYdX:0.999963; totalDist:41.96264; dist:1.412113; theta:45.00106; fieldPos:(-55.97022, -10.22263);
pos:27, dYdX:1.499925; totalDist:43.74887; dist:1.786227; theta:33.6914; fieldPos:(-54.70714, -8.959603);
pos:28, dYdX:0.833296; totalDist:44.88737; dist:1.138496; theta:50.19569; fieldPos:(-54.0756, -8.012332);
pos:29, dYdX:1.499959; totalDist:47.35357; dist:2.466201; theta:33.69079; fieldPos:(-52.18097, -6.43355);
pos:30, dYdX:0.7999601; totalDist:49.63054; dist:2.276974; theta:51.34159; fieldPos:(-50.91791, -4.53901);
pos:31, dYdX:2.499876; totalDist:51.65243; dist:2.02189; theta:21.80238; fieldPos:(-49.33905, -3.275984);
pos:32, dYdX:1.499941; totalDist:53.35285; dist:1.700417; theta:33.6911; fieldPos:(-48.7075, -1.697197);
pos:33, dYdX:1.999927; totalDist:54.49134; dist:1.138491; theta:26.56589; fieldPos:(-48.07597, -0.7499266);
pos:34, dYdX:0.6666274; totalDist:55.90346; dist:1.412122; theta:56.31149; fieldPos:(-47.44443, 0.5131042);
pos:35, dYdX:1.333289; totalDist:57.04196; dist:1.138501; theta:36.87081; fieldPos:(-46.49712, 1.144605);
pos:36, dYdX:1.499918; totalDist:58.62078; dist:1.578819; theta:33.69152; fieldPos:(-45.54981, 2.407645);
pos:37, dYdX:1.333291; totalDist:59.75927; dist:1.138486; theta:36.87078; fieldPos:(-44.91827, 3.354907);
pos:38, dYdX:1.499932; totalDist:61.33807; dist:1.578807; theta:33.69127; fieldPos:(-43.97096, 4.617938);
pos:39, dYdX:1.749921; totalDist:62.47657; dist:1.138493; theta:29.74599; fieldPos:(-43.33942, 5.565208);
pos:40, dYdX:1000; totalDist:65.0223; dist:2.545734; theta:0.05595291; fieldPos:(-42.07634, 7.7755);
pos:41, dYdX:3.99981; totalDist:66.28533; dist:1.26303; theta:14.03688; fieldPos:(-42.07634, 9.03853);
pos:42, dYdX:3.99987; totalDist:67.58724; dist:1.301907; theta:14.03668; fieldPos:(-41.76057, 10.30156);
pos:43, dYdX:3.999758; totalDist:68.88914; dist:1.301894; theta:14.03706; fieldPos:(-41.4448, 11.56458);
pos:44, dYdX:1000; totalDist:70.19105; dist:1.301907; theta:0.05595291; fieldPos:(-41.12902, 12.82761);
pos:45, dYdX:1000; totalDist:71.45407; dist:1.263021; theta:0.05595291; fieldPos:(-41.12902, 14.09064);
pos:46, dYdX:1000; totalDist:73.03285; dist:1.57878; theta:0.05595291; fieldPos:(-41.12902, 15.66942);
pos:47, dYdX:1000; totalDist:74.29588; dist:1.26303; theta:0.05595291; fieldPos:(-41.12902, 16.93245);
pos:48, dYdX:4.999921; totalDist:75.55891; dist:1.263031; theta:11.3101; fieldPos:(-41.12902, 18.19548);
pos:49, dYdX:1000; totalDist:77.16896; dist:1.61005; theta:0.05595291; fieldPos:(-40.81326, 19.77426);
pos:50, dYdX:-1000; totalDist:78.74774; dist:1.578781; theta:-180; fieldPos:(-40.81326, 21.35304);
pos:51, dYdX:0; totalDist:80.01077; dist:1.263031; theta:0; fieldPos:(-40.81326, 20.09001);
BREAK
