pos:22, dYdX:-0.1666544; totalDist:53.11489; dist:2.603897; theta:99.46164; fieldPos:(-10.49935, -12.74869);
pos:23, dYdX:0; totalDist:55.03565; dist:1.920759; theta:90; fieldPos:(-8.604722, -13.06444);
pos:24, dYdX:0; totalDist:56.29872; dist:1.263068; theta:90; fieldPos:(-7.341654, -13.06444);
pos:25, dYdX:-0.2857038; totalDist:58.50912; dist:2.210398; theta:105.9448; fieldPos:(-5.131256, -13.06444);
pos:26, dYdX:-0.399985; totalDist:63.10678; dist:4.597662; theta:111.8007; fieldPos:(-0.7104816, -14.32747);
pos:27, dYdX:-0.3999851; totalDist:64.80724; dist:1.700463; theta:111.8007; fieldPos:(0.8683664, -14.95898);
pos:28, dYdX:-0.2856956; totalDist:66.50771; dist:1.700462; theta:105.9444; fieldPos:(2.447214, -15.5905);
pos:29, dYdX:0; totalDist:68.80656; dist:2.298848; theta:90; fieldPos:(4.657623, -16.222);
pos:30, dYdX:0; totalDist:71.01692; dist:2.210367; theta:90; fieldPos:(6.86799, -16.222);
pos:31, dYdX:0.2499804; totalDist:72.59577; dist:1.578848; theta:75.96482; fieldPos:(8.446837, -16.222);
pos:32, dYdX:0.1999902; totalDist:73.89774; dist:1.301967; theta:78.69061; fieldPos:(9.709937, -15.90625);
pos:33, dYdX:0.1999936; totalDist:75.50784; dist:1.610111; theta:78.69042; fieldPos:(11.28878, -15.5905);
pos:34, dYdX:0; totalDist:77.11796; dist:1.610114; theta:90; fieldPos:(12.86763, -15.27474);
pos:35, dYdX:-0.2499923; totalDist:78.38103; dist:1.263079; theta:104.0358; fieldPos:(14.13071, -15.27474);
pos:36, dYdX:0; totalDist:79.68298; dist:1.301948; theta:0; fieldPos:(15.39379, -15.5905);
BREAK
